id	organism	seedid	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	ncbiid	platform	kbaseid	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
Actinomyces_turicensis_ACS_279_V_Col4	Actinomyces turicensis ACS-279-V-Col4	Actinomyces turicensis ACS-279-V-Col4 (883077.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	591	1129	887	chenry	04/15/16	883077.0	ModelSEED	kb|g.28017	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_turicensis_ACS_279_V_Col4.xml	883077	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia turicensis
Actinomyces_urogenitalis_DSM_15434	Actinomyces urogenitalis DSM 15434	Actinomyces urogenitalis DSM 15434 (525246.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	690	1247	946	chenry	04/15/16	525246.0	Kbase	kb|g.1979	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_urogenitalis_DSM_15434.xml	525246	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces urogenitalis
Actinomyces_viscosus_C505	Actinomyces viscosus  C505	Actinomyces viscosus C505 (562973.4)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	722	1234	956	chenry	04/15/16	562973.0	Kbase	kb|g.2332	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_viscosus_C505.xml	562973	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces oris
Adlercreutzia_equolifaciens_DSM_19450	Adlercreutzia equolifaciens DSM 19450		Obligate anaerobe	Asaccharolytic, nonfermentative	Positive	Commensal	590	942	813	chenry	09/09/14	1384484.0	Kbase		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Adlercreutzia_equolifaciens_DSM_19450.xml	1384484	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia equolifaciens
Aerococcus_viridans_ATCC_11563	Aerococcus viridans ATCC 11563	Aerococcus viridans ATCC 11563 (655812.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive		667	1209	941	Laura Kutt	04/17/16	655812.0	Kbase	kb|g.2789	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aerococcus_viridans_ATCC_11563.xml	655812	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__Aerococcus viridans
Aeromonas_caviae_Ae398	Aeromonas caviae Ae398	Aeromonas caviae Ae398 (878320.4)	Facultative anaerobe	Saccharolytic, fermentative	Negative		1090	1569	1122	Laura Kutt	04/18/16	878320.0	Kbase	kb|g.3542	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_caviae_Ae398.xml	878320	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.5)	Facultative anaerobe	Saccharolytic, fermentative	Negative		1105	1588	1140	Laura Kutt	04/18/16	380703.0	Kbase	kb|g.26547	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966.xml	380703	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas hydrophila
Aeromonas_jandaei_Riv2	Aeromonas jandaei Riv2		Facultative anaerobe	Saccharolytic, fermentative	Negative		988	1511	1090	Laura Kutt	04/18/16	1458276.0	Kbase	kb|g.239699	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_jandaei_Riv2.xml	1458276	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas jandaei
Aeromonas_media_WS	Aeromonas media WS		Facultative anaerobe	Saccharolytic, fermentative	Negative		1013	1543	1125	Laura Kutt	04/18/16	1208104.0	Kbase	kb|g.239700	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_media_WS.xml	1208104	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas media
Aeromonas_veronii_B565	Aeromonas veronii B565	Aeromonas veronii B565 (998088.4)	Facultative anaerobe	Saccharolytic, non-fermentative	Negative		1084	1559	1128	Laura Kutt	04/18/16	998088.0	Kbase	kb|g.3886	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_veronii_B565.xml	998088	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas veronii
Afipia_birgiae_34632	Afipia birgiae 34632	Afipia birgiae 34632 (1197906.5)	Obligate aerobe	Respiratory	Negative		1178	1482	1113	Laura Kutt	04/18/16	1197906.0	Kbase	kb|g.25402	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Afipia_birgiae_34632.xml	1197906	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__Afipia birgiae
Aggregatibacter_aphrophilus_NJ8700	Aggregatibacter aphrophilus NJ8700	Aggregatibacter aphrophilus NJ8700 (634176.4)	Aerobe	Respiratory	Negative		730	1294	998	Laura Kutt	04/19/16	634176.0	Kbase	kb|g.2675	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aggregatibacter_aphrophilus_NJ8700.xml	634176	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Aggregatibacter	s__Aggregatibacter aphrophilus
Agrobacterium_tumefaciens_F2	Agrobacterium tumefaciens F2	Agrobacterium tumefaciens F2 (1050720.3)	Aerobe	Respiratory	Negative		1290	1562	1169			1050720.0	Kbase	kb|g.23531	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Agrobacterium_tumefaciens_F2.xml	1050720	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium oryzihabitans
Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila ATCC BAA-835 (349741.6)	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	643	2274	1275	Eugen Bauer	08/03/14	349741.0	Kbase		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Akkermansia_muciniphila_ATCC_BAA_835.xml	349741	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	Alcaligenes faecalis subsp. faecalis NBRC 13111		Aerobe	Respiratory	Negative		988	1531	1127	Laura Kutt	04/18/16	1218102.0	Kbase	kb|g.239717	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alcaligenes_faecalis_subsp_faecalis_NBRC_13111.xml	1218102	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Alcaligenes	s__Alcaligenes faecalis
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687	Alcaligenes faecalis subsp. faecalis NCIB 8687	Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	Aerobe	Respiratory	Negative		1059	1491	1103	Laura Kutt	05/30/16	1156918.0	Kbase	kb|g.24921	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alcaligenes_faecalis_subsp_faecalis_NCIB_8687.xml	1156918	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Alcaligenes	s__Alcaligenes faecalis_C
Alistipes_finegoldii_DSM_17242	Alistipes finegoldii DSM 17242	Alistipes finegoldii DSM 17242 (679935.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	1147	883	Laura Kutt	04/17/16	679935.0	Kbase	kb|g.27343	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_finegoldii_DSM_17242.xml	679935	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes finegoldii
Alistipes_indistinctus_YIT_12060	Alistipes indistinctus YIT 12060	Alistipes indistinctus YIT 12060 (742725.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		703	2185	1393	Laura Kutt	04/17/16	742725.0	ModelSEED	kb|g.27472	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_indistinctus_YIT_12060.xml	742725	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A indistinctus
Alistipes_onderdonkii_DSM_19147	Alistipes onderdonkii DSM 19147	Alistipes onderdonkii DSM 19147 (1120974.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		662	1101	899	Laura Kutt	04/17/16	1203611.0	ModelSEED	kb|g.29550	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_onderdonkii_DSM_19147.xml	1203611	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes onderdonkii
Alistipes_putredinis_DSM_17216	Alistipes putredinis DSM 17216	Alistipes putredinis DSM 17216 (445970.5)	Obligate anaerobe	Weakly saccharolytic, fermentative	Negative	Commensal	421	858	721	chenry	09/09/14	445970.0	Kbase	kb|g.1522	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_putredinis_DSM_17216.xml	445970	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes putredinis
Alistipes_shahii_WAL_8301	Alistipes shahii WAL 8301	Alistipes shahii WAL 8301 (717959.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	2225	1262	Laura Kutt	04/17/16	717959.0	Kbase	kb|g.3099	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_shahii_WAL_8301.xml	717959	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes shahii
Alloprevotella_tannerae_ATCC_51259	Alloprevotella tannerae ATCC 51259		Obligate anaerobe	Saccharolytic, fermentative	Negative		809	893	770	Laura Kutt	04/17/16	626522.0	Kbase	kb|g.2651	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alloprevotella_tannerae_ATCC_51259.xml	626522	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella tannerae
Anaerobiospirillum_succiniciproducens_DSM_640001	Anaerobiospirillum succiniciproducens DSM 640001		Anaerobe	Asaccharolytic	Negative		563	1127	919	Laura Kutt	04/19/16	1120988.0	Kbase	kb|g.207031	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerobiospirillum_succiniciproducens_DSM_640001.xml	1120988	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Succinivibrionaceae	g__Anaerobiospirillum	s__Anaerobiospirillum succiniciproducens
Anaerococcus_hydrogenalis_DSM_7454	Anaerococcus hydrogenalis DSM 7454	Anaerococcus hydrogenalis DSM 7454 (561177.4)	Obligate anaerobe	Weakly saccharolytic, fermentative	Positive	Commensal	582	873	696	Ines Thiele	06/29/12	561177.0	Kbase		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerococcus_hydrogenalis_DSM_7454.xml	561177	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Anaerococcus	s__Anaerococcus hydrogenalis
Anaerococcus_prevotii_DSM_20548	Anaerococcus prevotii DSM 20548	Anaerococcus prevoti prevotii DSM 20548 (525919.4)	Obligate anaerobe	Saccharolytic, fermentative	Positive		537	1060	809	Laura Kutt	04/18/16	525919.0	Kbase	kb|g.2043	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerococcus_prevotii_DSM_20548.xml	525919	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Anaerococcus	s__Anaerococcus prevotii
Anaerococcus_vaginalis_ATCC_51170	Anaerococcus vaginalis ATCC 51170	Anaerococcus vaginalis ATCC 51170 (655811.4)	Obligate anaerobe	Saccharolytic, fermentative	Positive		515	1119	859	Laura Kutt	04/18/16	655811.0	Kbase	kb|g.2788	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerococcus_vaginalis_ATCC_51170.xml	655811	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Anaerococcus	s__Anaerococcus vaginalis
Anaerofustis_stercorihominis_DSM_17244	Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis DSM 17244 (445971.6)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	587	986	847	Eugen Bauer	08/03/14	445971.0	ModelSEED		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerofustis_stercorihominis_DSM_17244.xml	445971	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Anaerofustaceae	g__Anaerofustis	s__Anaerofustis stercorihominis
Anaerostipes_caccae_DSM_14662	Anaerostipes caccae DSM 14662	Anaerostipes caccae DSM 14662 (411490.6)	Obligate anaerobe	Saccharolytic, fermentative, acetate and lactate converted to butyrate	Positive	Commensal	978	1617	1221	Ines Thiele	08/06/12	411490.0	ModelSEED		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerostipes_caccae_DSM_14662.xml	411490	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes caccae
Anaerostipes_hadrus_DSM_3319	Anaerostipes hadrus DSM 3319	Anaerostipes hadrus DSM 3319 (649757.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	812	1704	1227	chenry	09/10/14	649757.0	Kbase	kb|g.32259	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerostipes_hadrus_DSM_3319.xml	649757	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes hadrus
Anaerotruncus_colihominis_DSM_17241	Anaerotruncus colihominis DSM 17241	Anaerotruncus colihominis DSM 17241 (445972.6)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	754	1090	887	Ines Thiele	04/20/12	445972.0	Kbase		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerotruncus_colihominis_DSM_17241.xml	445972	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus colihominis
Aneurinibacillus_aneurinilyticus_ATCC_12856	Aneurinibacillus aneurinilyticus ATCC 12856		Aerobe	Saccharolytic	Positive		1076	1510	1142	Laura Kutt	04/18/16	649747.0	Kbase	kb|g.216026	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aneurinibacillus_aneurinilyticus_ATCC_12856.xml	649747	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus aneurinilyticus
Arcanobacterium_haemolyticum_DSM_20595	Arcanobacterium haemolyticum DSM 20595	Arcanobacterium haemolyticum DSM 20595 (644284.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	510	1056	847	chenry	04/15/16	644284.0	Kbase	kb|g.2746	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Arcanobacterium_haemolyticum_DSM_20595.xml	644284	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Arcanobacterium	s__Arcanobacterium haemolyticum
Arcobacter_butzleri_RM4018	Arcobacter butzleri RM4018	Arcobacter butzleri RM4018 (367737.4)	Microaerophile	Non-fermentative, asaccharolytic	Negative		634	1081	902	Laura Kutt	04/18/16	367737.0	Kbase	kb|g.1095	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Arcobacter_butzleri_RM4018.xml	367737	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter butzleri
Arthrobacter_castelli_DSM_16402	Arthrobacter castelli DSM 16402		Aerobe	Asaccharolytic, nonfermentative	Positive	Uncharacterized	1019	1428	1109	chenry	04/15/16	1121019.0	Kbase	kb|g.207043	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Arthrobacter_castelli_DSM_16402.xml	1121019	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_C	s__Arthrobacter_C castelli
Atopobium_minutum_10063974	Atopobium minutum 10063974	Atopobium minutum 10063974 (997872.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	468	1007	807	chenry	04/15/16	997872.0	Kbase	kb|g.32451	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Atopobium_minutum_10063974.xml	997872	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	s__Atopobium minutum
