id,Genome_type,Length,N_contigs,N50,GC_content,Completeness,Contamination,rRNA_5S,rRNA_16S,rRNA_23S,tRNAs,Genome_accession,Species_rep,lineage,url,assembly
MGYG000000011,Isolate,2927652,12,601381,32.39,99.44,1.39,0,99.74,99.76,20,GUT_GENOME000030,MGYG000000011,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000011/genome/MGYG000000011.fna,MGYG000000011.fna.gz
MGYG000000012,Isolate,4055810,14,1079697,43.85,99.81,0.2,94.96,99.67,99.79,19,GUT_GENOME000031,MGYG000000012,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000012/genome/MGYG000000012.fna,MGYG000000012.fna.gz
MGYG000000013,Isolate,6374953,29,589449,42.1,99.08,0.08,94.96,69.41,88.14,20,GUT_GENOME000035,MGYG000000013,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp902362375,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000013/genome/MGYG000000013.fna,MGYG000000013.fna.gz
MGYG000000014,Isolate,4567291,63,209578,28.5,99.19,0,94.96,99.74,99.83,20,GUT_GENOME000046,MGYG000000014,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000014/genome/MGYG000000014.fna,MGYG000000014.fna.gz
MGYG000000015,Isolate,4889793,29,397865,55.2,98.78,0.1,95.8,99.67,99.86,20,GUT_GENOME000047,MGYG000000015,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000015/genome/MGYG000000015.fna,MGYG000000015.fna.gz
MGYG000000016,Isolate,2569277,41,111345,45.29,97.32,0,0,99.61,99.86,20,GUT_GENOME000049,MGYG000000016,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000016/genome/MGYG000000016.fna,MGYG000000016.fna.gz
MGYG000000017,Isolate,2178650,30,139113,59.56,100,0.81,94.12,99.61,99.45,20,GUT_GENOME000054,MGYG000000017,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902362275,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000017/genome/MGYG000000017.fna,MGYG000000017.fna.gz
MGYG000000018,Isolate,3285306,14,460715,43.14,99.33,0,0,99.74,99.79,20,GUT_GENOME000055,MGYG000000018,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000018/genome/MGYG000000018.fna,MGYG000000018.fna.gz
MGYG000000019,Isolate,4955949,51,214382,56.06,99.22,0.18,95.8,99.67,87.9,19,GUT_GENOME000057,MGYG000000019,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_O,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000019/genome/MGYG000000019.fna,MGYG000000019.fna.gz
MGYG000000020,Isolate,1925070,95,42986,41.79,99.18,0,94.12,99.74,99.83,20,GUT_GENOME000064,MGYG000000020,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000020/genome/MGYG000000020.fna,MGYG000000020.fna.gz
MGYG000000021,Isolate,1947461,36,100294,40.1,99.46,0.54,0,99.67,99.83,20,GUT_GENOME000067,MGYG000000021,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis_A,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000021/genome/MGYG000000021.fna,MGYG000000021.fna.gz
MGYG000000022,Isolate,3063217,23,304438,56.24,100,0,94.12,81.87,99.83,20,GUT_GENOME000092,MGYG000000022,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000022/genome/MGYG000000022.fna,MGYG000000022.fna.gz
MGYG000000023,Isolate,2135140,11,360696,41.56,98.81,0.17,93.28,99.74,99.76,20,GUT_GENOME000094,MGYG000000023,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000023/genome/MGYG000000023.fna,MGYG000000023.fna.gz
MGYG000000024,Isolate,3643390,25,2249377,28.14,99.3,0.7,89.08,99.74,99.83,20,GUT_GENOME000104,MGYG000000024,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000024/genome/MGYG000000024.fna,MGYG000000024.fna.gz
MGYG000000025,Isolate,2824738,30,300583,33.04,99.45,1.1,94.96,99.74,99.76,20,GUT_GENOME000106,MGYG000000025,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000025/genome/MGYG000000025.fna,MGYG000000025.fna.gz
MGYG000000026,Isolate,2532364,177,29881,34.09,100,0,74.79,99.61,99.83,20,GUT_GENOME000109,MGYG000000026,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000026/genome/MGYG000000026.fna,MGYG000000026.fna.gz
MGYG000000027,Isolate,2395159,46,116897,58.15,99.81,0.55,94.12,99.74,86.8,20,GUT_GENOME000111,MGYG000000027,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000027/genome/MGYG000000027.fna,MGYG000000027.fna.gz
MGYG000000028,Isolate,2459729,20,391873,36.64,99.33,2.01,0,99.61,99.69,20,GUT_GENOME000113,MGYG000000028,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000028/genome/MGYG000000028.fna,MGYG000000028.fna.gz
MGYG000000029,Isolate,4418465,40,238385,42.15,93.87,0,94.96,99.67,99.56,20,GUT_GENOME000122,MGYG000000029,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000029/genome/MGYG000000029.fna,MGYG000000029.fna.gz
MGYG000000030,Isolate,3027291,26,397337,34,99.33,0,0,99.67,99.76,20,GUT_GENOME000128,MGYG000000030,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000030/genome/MGYG000000030.fna,MGYG000000030.fna.gz
MGYG000000031,Isolate,3675824,25,380409,43.88,99.37,0.32,82.35,99.67,88.79,20,GUT_GENOME000131,MGYG000000031,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000031/genome/MGYG000000031.fna,MGYG000000031.fna.gz
MGYG000000032,Isolate,6979496,58,310095,48.87,99.37,1.58,92.44,99.61,89.2,20,GUT_GENOME000133,MGYG000000032,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000032/genome/MGYG000000032.fna,MGYG000000032.fna.gz
MGYG000000033,Isolate,3012737,61,91834,38.2,97.99,1.01,94.96,99.67,99.83,20,GUT_GENOME000136,MGYG000000033,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000033/genome/MGYG000000033.fna,MGYG000000033.fna.gz
MGYG000000034,Isolate,2756898,14,469987,46.99,98.66,0.13,94.12,99.61,99.83,20,GUT_GENOME000137,MGYG000000034,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000034/genome/MGYG000000034.fna,MGYG000000034.fna.gz
MGYG000000035,Isolate,3531725,15,503423,44.88,99.37,1.74,0,99.61,99.66,20,GUT_GENOME000139,MGYG000000035,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000035/genome/MGYG000000035.fna,MGYG000000035.fna.gz
MGYG000000036,Isolate,2416064,11,673861,37.63,99.33,0.34,91.6,99.74,99.86,20,GUT_GENOME000141,MGYG000000036,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus;s__Pseudoruminococcus massiliensis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000036/genome/MGYG000000036.fna,MGYG000000036.fna.gz
MGYG000000037,Isolate,2732957,103,59059,34.21,91.6,1.84,72.27,99.74,99.83,20,GUT_GENOME000147,MGYG000000037,d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000037/genome/MGYG000000037.fna,MGYG000000037.fna.gz
MGYG000000038,Isolate,3126606,42,173966,41.43,99.42,0,0,94.72,87.35,20,GUT_GENOME000149,MGYG000000038,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000038/genome/MGYG000000038.fna,MGYG000000038.fna.gz
MGYG000000039,Isolate,2852528,49,130275,57.64,99.32,0,94.12,81.6,96.85,20,GUT_GENOME000152,MGYG000000039,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000039/genome/MGYG000000039.fna,MGYG000000039.fna.gz
MGYG000000040,Isolate,2648172,29,157791,47.75,98.58,2.13,94.12,99.74,99.86,20,GUT_GENOME000159,MGYG000000040,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000040/genome/MGYG000000040.fna,MGYG000000040.fna.gz
MGYG000000041,Isolate,3650957,63,114127,45.79,99.52,1.45,0,99.61,99.83,20,GUT_GENOME000166,MGYG000000041,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000041/genome/MGYG000000041.fna,MGYG000000041.fna.gz
MGYG000000042,Isolate,3614176,48,163040,40.18,97.01,0.12,94.96,99.67,99.59,20,GUT_GENOME000187,MGYG000000042,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066445,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000042/genome/MGYG000000042.fna,MGYG000000042.fna.gz
MGYG000000043,Isolate,4186633,114,72797,46.37,98.88,0.56,0,99.67,74.63,20,GUT_GENOME000189,MGYG000000043,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066455,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000043/genome/MGYG000000043.fna,MGYG000000043.fna.gz
MGYG000000044,Isolate,4305808,20,533644,45.24,99.62,0,0,99.67,99.56,20,GUT_GENOME000192,MGYG000000044,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000044/genome/MGYG000000044.fna,MGYG000000044.fna.gz
MGYG000000045,Isolate,2725575,33,189413,29.24,99.06,0,68.07,99.67,99.79,20,GUT_GENOME000196,MGYG000000045,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000045/genome/MGYG000000045.fna,MGYG000000045.fna.gz
MGYG000000046,Isolate,2561300,55,98872,52.63,99.4,1.2,92.44,99.67,99.79,19,GUT_GENOME000198,MGYG000000046,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000046/genome/MGYG000000046.fna,MGYG000000046.fna.gz
MGYG000000047,Isolate,3449564,57,144642,28.82,96.77,3.41,95.8,94.26,92.27,20,GUT_GENOME000200,MGYG000000047,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum_A,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000047/genome/MGYG000000047.fna,MGYG000000047.fna.gz
MGYG000000048,Isolate,2457263,31,342082,27.23,98.39,1.29,82.35,99.67,99.83,20,GUT_GENOME000202,MGYG000000048,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000048/genome/MGYG000000048.fna,MGYG000000048.fna.gz
MGYG000000049,Isolate,3390789,38,352489,27.6,98.59,0.7,87.39,99.74,99.83,19,GUT_GENOME000203,MGYG000000049,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000049/genome/MGYG000000049.fna,MGYG000000049.fna.gz
MGYG000000050,Isolate,3891993,92,83457,43.05,98.73,1.27,0,99.67,99.66,20,GUT_GENOME000205,MGYG000000050,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000050/genome/MGYG000000050.fna,MGYG000000050.fna.gz
MGYG000000051,Isolate,3561714,67,160199,49.83,99.37,0.63,84.03,99.61,99.83,20,GUT_GENOME000215,MGYG000000051,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp900066385,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000051/genome/MGYG000000051.fna,MGYG000000051.fna.gz
MGYG000000052,Isolate,3276064,77,105607,43.76,99.33,3.36,82.35,99.61,99.69,20,GUT_GENOME000219,MGYG000000052,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000052/genome/MGYG000000052.fna,MGYG000000052.fna.gz
MGYG000000053,Isolate,2187878,23,275107,64.57,99.52,0.48,94.96,99.67,99.66,20,GUT_GENOME000220,MGYG000000053,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000053/genome/MGYG000000053.fna,MGYG000000053.fna.gz
MGYG000000054,Isolate,5218912,180,62445,43.28,98.88,0.09,94.96,99.67,99.59,20,GUT_GENOME000221,MGYG000000054,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000054/genome/MGYG000000054.fna,MGYG000000054.fna.gz
MGYG000000055,Isolate,3238347,99,76624,49.86,97.92,0.38,89.92,99.67,94.7,20,GUT_GENOME000224,MGYG000000055,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000055/genome/MGYG000000055.fna,MGYG000000055.fna.gz
MGYG000000056,Isolate,3326589,75,106893,47.69,99.43,0.75,91.6,99.67,99.42,20,GUT_GENOME000225,MGYG000000056,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000056/genome/MGYG000000056.fna,MGYG000000056.fna.gz
MGYG000000057,Isolate,4372611,123,81097,45.91,98.51,0.37,0,99.67,99.49,20,GUT_GENOME000231,MGYG000000057,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000057/genome/MGYG000000057.fna,MGYG000000057.fna.gz
